"","Document","Date","clean_sentence","Source","Recipient_Code","Recipient_Name","aid_type","recipient_type","Note"
"11","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Almanya, Avustralya, Fransa, Belçika, Nevruz ve Hıdırellez Bayramı, Hızır Orucu ve Hızır Cemleri ve Muharrem ayı 454.235 TL İsviçre, Bulgaristan ve Yunanistan etkinlikleri harcamaları için müşavirliklerle birlikte destek Balkanlar’daki Projeler Cami Projeleri Romanya Bükreş Camii: Romanya’nın başkenti Bükreş’in merkezinde yapılacak olan cami, 1.500 kişilik cemaat kapasitesine sahip olacaktır.","TDV",350,"Yunanistan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"12","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Almanya, Avustralya, Fransa, Belçika, Nevruz ve Hıdırellez Bayramı, Hızır Orucu ve Hızır Cemleri ve Muharrem ayı 454.235 TL İsviçre, Bulgaristan ve Yunanistan etkinlikleri harcamaları için müşavirliklerle birlikte destek Balkanlar’daki Projeler Cami Projeleri Romanya Bükreş Camii: Romanya’nın başkenti Bükreş’in merkezinde yapılacak olan cami, 1.500 kişilik cemaat kapasitesine sahip olacaktır.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"13","TDV%20-%20Faaliyet%20Raporu%20-%202016.pdf","2016","Konferans salonu, Kur’an kursu, kütüphane, seminer salonları, yemekhane, dükkânların da yer aldığı külliyede caminin bitişiğinde Makedonya İslam Birliği Merkez Binası da inşa edilecektir.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"14","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","Avrupa ve Balkanlar’daki Eğitim Kurumlarımız Türkiye Diyanet Vakfının desteklediği 23 eğitim kurumunun 5’i Bulgaristan ve Romanya’da bu- lunmaktadır.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Fixed"
"15","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","Bu kurumlardan Vakfımızca 1998-99 eğitim öğretim yılından beri desteklenen Bulgaristan/ Ayrıca 2017 yılı itibariyle Avrupa’dan ve Balkan- Sofya Yüksek İslam Enstitüsünde 2016-2017 döne- lardan dan gelip Vakfımız burslusu olarak ya da mi itibariyle 81 öğrenci eğitim görmekte olup, bu Vakfımızca desteklenerek Uluslararası İmam ha- zamana kadar enstitüden 214 öğrenci mezun ola- tiplerde ortaöğretim seviyesinde ve İlahiyat fakül- rak Bulgaristan’daki Müslümanların dinî hayatının telerinde Lisans ve Lisansüstü seviyede ve Ulusla- gelişmesine katkı sağlamışlardır.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"16","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","Merkez Camii, Cibuti Merkez Camii, Bosna-Hersek Olovo Ahi Evran Camii ve Makedonya Üsküp Camii Avrupa ve Balkanlarda Hediyem Kuran Olsun inşaatları devam etmektedir.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"17","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","Projesi kapsamında 2017 yılı sonu itibariyle 69.960 adet başta 50 bin Boşnakça meal olmak üzere, Ro- Kosova Piriştine Camii, Romanya Bükreş Cami- mence, Fransızca, Türkçe, İspanyolca mealler he- lerinin ise projeleri hazırlanmış olup yerel makam diye edilmiştir.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"18","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","Avrupa ve Balkanlar’daki Hayri ve Sosyal İnşaatı Devam Eden Projeler Faaliyetlerimiz 1 Arnavutluk Tiran Camii 2017 yılında Avrupa ve Balkanlarda 18 ülkede 2 Bosna-Hersek Olovo Ahi Evran Camii adak kurbanı, su kuyusu çalışmaları, mahallindeki 3 Makedonya-Üsküp Üsküp Camii dini idareleri destekleme, insani yardım vb.","TDV",343,"Makedonya","İnsani Yardım","Sivil Toplum",""
"19","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","511 €, 87.901 TL tutarında 1 Kosova-Priştine Priştine Camii insani ve hayri hizmetler alanında yardım yapıl- 2 Macaristan-Budapeşte Budapeşte Camii 3 Romanya-Bükreş Bükreş Merkez Camii mıştır.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"20","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","Makedonya Cumhuriyeti Üsküp Şubesi, KOMAŞ A.Ş.’nin artan iş hacmi ile birlikte daha kârlı, verimli ve kurumsal bir yapı içerisinde faali- yetlerini sürdürebilmesi amacıyla uygulamaya ge- çirilen “Yönetim Geliştirme Projesi” doğrultusunda oluşturulan alt yapı ve çalışma düzeniyle tüm faali- yetlerin tek noktadan sevk ve idaresi sağlanmıştır.","TDV",343,"Makedonya","Ekonomik, Kalkınma, Teknik ve Altyapı Yardımı","Özel Sektör",""
"21","TDV%20-%20Faaliyet%20Raporu%20-%202017.pdf","2017","Makedonya Üsküp Çayır Tophane Camii Proje Bu kapsamda KOMAŞ tarafından bugüne ka- ve İnşaat İşleri 5.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"22","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Toplam Ülke Kurum Adı Eğitim Kurumları Durumu Düzeyi Yılı Sayısı Mezun 1 Kırgızistan Oş Devlet Üniversitesi Oş Devlet Üniversitesi İşbirligi Lisans 1993 145 549 2 Kırgızistan Oş İmam Hatip Lisesi Oş Devlet Üniversitesi İşbirligi Ortaögretim 2013 140 66 3 Azerbaycan Bakü İlahiyat Fakültesi* Bakü Devlet Üniversitesi İşbirligi Lisans 1992 0 919 4 Azerbaycan Bakü Türk Lisesi TDV Ortaögretim 1994 855 1.498 Almatı Yabancı Diller ve Mesleki Yabancı Diller ve Mesleki Kariyer 5 Kazakistan Lisans 2005 117 489 Kariyer Üniversitesi Üniversitesi İşbirligi 6 Bulgaristan Sofya Yüksek İslam Enstitüsü Başmüftülük İşbirligi Lisans 1990 61 239 7 Bulgaristan Rusçuk İlahiyat Lisesi Başmüftülük İşbirligi Ortaögretim 1992 30 518 8 Bulgaristan Şumnu İlahiyat Lisesi Başmüftülük İşbirligi Ortaögretim 1991 128 614 9 Bulgaristan Mestanlı İlahiyat Lisesi Başmüftülük İşbirligi Ortaögretim 1991 134 662 10 Romanya Mecidiye K.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"23","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Bununla birlik- 18 Tekirdağ Süleymanpaşa Hocaoğlu Cami te yurt dışında Arnavutluk, Makedonya, Bosna 19 Trabzon Yomra Kur’an Kursu Hersek, Kırgızistan Özgen, Karaçay Çerkesya ve 20 Rize Çayeli Yatılı Kur’an Kursu Kosova’da olmak üzere 6 caminin inşaatı devam 21 Bursa İnegöl Bölge Yatılı Kur’an Kursu etmektedir.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"24","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Bununla birlik- 18 Tekirdağ Süleymanpaşa Hocaoğlu Cami te yurt dışında Arnavutluk, Makedonya, Bosna 19 Trabzon Yomra Kur’an Kursu Hersek, Kırgızistan Özgen, Karaçay Çerkesya ve 20 Rize Çayeli Yatılı Kur’an Kursu Kosova’da olmak üzere 6 caminin inşaatı devam 21 Bursa İnegöl Bölge Yatılı Kur’an Kursu etmektedir.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"25","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Cami külliyesinde konferans salonu, Kur’an Makedonya’nın başkenti Üsküp’te 4.100 met- Kursu, derslikler, sergi salonları, kütüphane, ça- rekare alan üzerinde inşasına başlanılan cami, lışma alanları, kültür merkezi ve ‘’Balkan Kültür- 2.000 kişi cemaat kapasitesine sahiptir.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"26","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Yurt Dışında Yürütülen Tadilatlarımız Kosova Priştine Camii Suriye’de yaşanan çatışmalar sebebi ile büyük zarar gören camilerden 278 adedinin tadilatı bu Kosova Priştine Camii ve Külliyesi, Priştine’nin dönem içerisinde tamamlanmış ve 38 caminin merkezinde Bulevar Narodnih Palih Boraca cad- tadilatı ise devam etmekte olup, 2019 yılının ilk desi üzerinde otopark olarak kullanılan 8.100 aylarında tamamlanarak kullanıma açılması plan- m2’lik arsa üzerine inşa edilecektir.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"27","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Plevne Bölge Müftülük Bulgaristan Plevne Aksaray Nakdi Yardım 2.03.2018 19.03.2018 1579/4 Mh - İnşaatı Üniversite İnşaatı Rusya Ufa İstanbul Nakdi Yardım 30.01.2018 6.03.2018 1578/9 Mh 826.000 $ Harcamaları 10.000 Adet Kur’anı Kerim İle 500 Adet Polonya Eskişehir ‘’Kur’an Öğreniyorum’’ Nakdi Yardım 27.02.2018 20.03.2018 531/6 İcra 14.875 € Adlı Kitabın Basılma Masrafı Hulo Cami ve Kur’an Gürcistan Hulo Ordu Kursu Müştemilatı Nakdi Yardım 27.03.2018 25.04.2018 532 İcra 100.358,6 TL Giderleri Ramazan İftar Rusay Moskova İstanbul Nakdi Yardım 30.04.2018 23.05.2018 533 İcra 5.000 $ Programı İçin Yardım Cami, Kur’an Kursu,Okul İaşe Gürcistan Kobuleti Artvin Nakdi Yardım 3.04.2018 25.05.2018 533 İcra - Personel Giderleri Ödenmesi İstanbul / 4-6 Yaş Kur’an Kursu Kosova Mitroviça Nakdi Yardım 11.04.2018 3.07.2018 535 İcra Bayrampaşa Yapımı Gürcistan Tiflis Sakarya Eğitim Binası Kira Bedeli 15.01.2018 31.07.2018 1588 M.h.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"28","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Plevne Bölge Müftülük Bulgaristan Plevne Aksaray Nakdi Yardım 2.03.2018 19.03.2018 1579/4 Mh - İnşaatı Üniversite İnşaatı Rusya Ufa İstanbul Nakdi Yardım 30.01.2018 6.03.2018 1578/9 Mh 826.000 $ Harcamaları 10.000 Adet Kur’anı Kerim İle 500 Adet Polonya Eskişehir ‘’Kur’an Öğreniyorum’’ Nakdi Yardım 27.02.2018 20.03.2018 531/6 İcra 14.875 € Adlı Kitabın Basılma Masrafı Hulo Cami ve Kur’an Gürcistan Hulo Ordu Kursu Müştemilatı Nakdi Yardım 27.03.2018 25.04.2018 532 İcra 100.358,6 TL Giderleri Ramazan İftar Rusay Moskova İstanbul Nakdi Yardım 30.04.2018 23.05.2018 533 İcra 5.000 $ Programı İçin Yardım Cami, Kur’an Kursu,Okul İaşe Gürcistan Kobuleti Artvin Nakdi Yardım 3.04.2018 25.05.2018 533 İcra - Personel Giderleri Ödenmesi İstanbul / 4-6 Yaş Kur’an Kursu Kosova Mitroviça Nakdi Yardım 11.04.2018 3.07.2018 535 İcra Bayrampaşa Yapımı Gürcistan Tiflis Sakarya Eğitim Binası Kira Bedeli 15.01.2018 31.07.2018 1588 M.h.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"29","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Yıllık 14.400$ Kira, Fatura, Kayseri / Onarım, Melikgazi Sinanbey Medresesi Eğitim, Sırbistan Yeni Pazar 4.09.2018 8.10.2018 538 İcra Giderleri Öğretim Bosna Hersek’in Doboy Şehrinde İnşaatına İzmir / Bosna Hersek Dobojjuk Başlanılan İslam Kültür Nakdi Yardım 13.07.2018 6.09.2018 537 İcra 130.000 TL Gaziemir Merkezinin Hizmete Açılabilmesi Bulgaristan’ın Filibe Şehri Yeni Mahalle (Stolipinovo) Semtinde Yaşayan Yaklaşık 70.000 Müslümanın Bulgaristan Filibe İstanbul Dini ve Kültürel Nakdi Yardım 20.09.2018 8.10.2018 538 İcra 60.000 € Taleplerine Cevap Verecek Düzeyde Bir Kültür Tesisi Yapımı 57 TURKiYE DiYANET VAKFI 4.10.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Fixed"
"30","TDV%20-%20Faaliyet%20Raporu%20-%202018.pdf","2018","Bu kurum ve STK’lar için Şirketimiz tarafından ta- kapsamda iki yıllık dönemde Bulgaristan Baş- ahhüt edilen bütün yardım paketlerinin hazırlık, müftülüğü tarafından düzenlenen Hac Organi- üretim ve paketleme aşamaları bu tesis bünye- zasyonu ile ilgili malzemeler de yine şirketimiz sinde yürütülmektedir.","TDV",355,"Bulgaristan","İnsani Yardım","Sivil Toplum",""
"31","TDV%20-%20Faaliyet%20Raporu%20-%202022.pdf","2022","• 2021-2022 Eğitim- Öğretim yılında Vakfımızın yurt dışı eğitim faaliyetleri kapsamında Bulgaristan’da Sofya Yüksek İslam Enstitüsü ve Mestanlı İmam Hatip Lisesinde okuyan 20 öğrencimize Türkçe Öğretim çalışmaları yürütülmüştür.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"32","TDV%20-%20Faaliyet%20Raporu%20-%202022.pdf","2022","Yurt Dışı İnşaat İşleri 2022 faaliyet dönemimizde yurt dışında Arnavutluk, Makedonya, Bosna Hersek, Karadağ ve Kosova’da olmak üzere 5 camii inşaatı bulunmaktadır.","TDV",347,"Kosova","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"33","TDV%20-%20Faaliyet%20Raporu%20-%202022.pdf","2022","Yurt Dışı İnşaat İşleri 2022 faaliyet dönemimizde yurt dışında Arnavutluk, Makedonya, Bosna Hersek, Karadağ ve Kosova’da olmak üzere 5 camii inşaatı bulunmaktadır.","TDV",343,"Makedonya","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"34","TDV%20-%20Raporlar%20-%20Bulgaristan%20(2015).pdf","2015","Bulgaristan’da 1991 yılında Müslüman cemaatin üst düzey yetkililerinden sekiz kişi Dünya İslâm Birliği’nin, yirmi altı kişi de Türkiye Diyanet Vakfının davetlisi olarak hacca gitmiştir.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"35","TDV%20-%20Raporlar%20-%20Bulgaristan%20(2015).pdf","2015","Baş Müftülük tarafından, ilk sayısı 26 Nisan 1990’da yayımlanan Müslümanlar adlı Türkçe-Bulgarca gazete de on beş günde bir çıkarılmaktadır.25 26 TÜRKİYE DİYANET VAKFI b) Eğitim Faaliyetleri 1991 yılının Temmuz ayında resmileşen yeni Bulgar anayasasının azınlıklara kendi ana dillerini öğrenme ve kullanma hakkının tanınmasıyla birlikte, Vakfımız tarafından Bulgaristan Türklerinin en önemli sorunu, eğitim alanında çalışmalar başlatılmıştır.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Başmüftülük statüsü ?"
"36","TDV%20-%20Raporlar%20-%20Bulgaristan%20(2015).pdf","2015","Söz konusu okulların binaları T.C Başbakanlık ve Türkiye Diyanet Vakfı tarafından tamir ettirilmiş olup, malzeme, ders, araç-gereçleri ve kırtasiye ihtiyaçları karşılanmakta, öğretmen gönderilmekte, ayrıca maddi destek sağlanmaktadır.26 Türkiye Diyanet Vakfı Tarafından Açılan ve Desteklenen Eğitim Kurumları Şumnu İlahiyat Lisesi (Sodu Nuvvab) Bulgaristan’ın bağımsızlığını ilan etmesinin ardından Bulgaristan ile Osmanlı Devleti arasında 1909 ve 1913 yıllarında imzalanan protokoller gereğince nüvvab (müftü veya müftü vekili) yetiştirmek üzere dini bir okulun açılması kararlaştırılmıştır.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Merkezi Hükümet ve Bağlı Aktörler",""
"37","TDV%20-%20Raporlar%20-%20Bulgaristan%20(2015).pdf","2015","Enstitünün müfredatı Bulgaristan’daki Müslümanların dini eğitim ihtiyaçlarını karşılamaktadır.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"38","TDV%20-%20Raporlar%20-%20Bulgaristan%20(2015).pdf","2015","1998 – 2013 yılları arasında Vakfımız tarafından desteklenen ve ülkemizde öğrenim gören ve mezun olan öğrenci sayıları Okul Öğrenci Sayısı Lise 98 Lisans 67 Yüksek Lisans 15 Doktora 10 Toplam 190 34 TÜRKİYE DİYANET VAKFI Sıra Tarih Yardım Türü Yardım Muhteviyatı Tutar Mestanlı İlahiyat 1 2010-2011 Nakdi Yardım Lisesi, yurt ve 2.620.133,14 € lojman inşaatı Bulgaristan’da düzenlenen 2 2006-2014 Nakdi Yardım 332.843,00 $ yaz kurslarının masrafları Şumnu İlahiyat 3 2013 Nakdi Yardım 400.000,00 € Lisesi inşaatı c) Yayın Hizmetleri Başta Kur’an-ı Kerim olmak üzere bugüne kadar; 250.000 civarında Bulgarca çeşitli dinî yayın, 1.000 adet Türk Edebiyatı’nda İlk Mutasavvıflar adlı eser, yaz Kur’an kurslarındaki öğrencilere dağıtılmak üzere 12.000 adet tecvidli Kur’an-ı Kerim ve alfabe CD’si temin edilmiştir.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum",""
"39","TDV%20-%20Raporlar%20-%20Bulgaristan%20(2015).pdf","2015","Bulgaristan Müslümanları Baş Müftülüğü ve Sofya Üniversitesi Türkoloji Bölümü Kütüphanesi’ne de Vakfımız İslam Ansiklopedisi yayınından gönderilmiştir.","TDV",355,"Bulgaristan","Eğitim ve Kültürel Yardımlar","Sivil Toplum","Başmüftülük statüsü ?"
